Nama Kafe,Alamat,Rating,Link Maps,tags_model,tags_readable,Link Gambar
Aura cafe & dine,Jl. Gotong Royong No.1,"5,0",https://www.google.com/maps/place/Aura+cafe+%26+dine/data=!4m7!3m6!1s0x2e788100693e768b:0x936effa3d6e0511a!8m2!3d-7.9207226!4d112.5804217!16s%2Fg%2F11y0pcr3pp!19sChIJi3Y-aQCBeC4RGlHg1qP_bpM?authuser=0&hl=id&rclk=1,cafe cakep ramah layan anwy liat view gunung sekaligus super cozyyy suka sama makan berat lebih tepat nasi ayam lava jadi ken datang cafenya aesthetic cocok nongki cantik bareng temen makan minum masih ramah kantong mahasiswa tempat enak bagus tempat bagus murah nyaman harga murah layan gunung aesthetic anak helm aren cctv ajar avocado nasi,"Fasilitas: pelayanan, gunung, aesthetic, anak, helm, aren, cctv, belajar, avocado, nasi. Kata Mereka: cafe nya cakep banget, ramah juga pelayanannya, anwy bisa liat view 2 gunung sekaligus, super cozyyy ... suka banget sama makanan beratnya, lebih tepatnya nasi ayam lava nya jadi pengen datang lagi 🤤… … ... cafenya aesthetic, cocok untuk nongki cantik bareng temen, makanan dan minumannya juga masih ramah kantong mahasiswa ... Tempatnya enak dan bagus ... tempatnya bagus murah dan nyaman banget harganya murah juga",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzM5BKEQzbwFrSFwFTsOrq2Mr02QaPHaxJSdSM-0RTh8R1tSg-KUW3WwzJ_FvNwVJEczej72Yx4Zz6UA872CSqXU8JY_mMbzH7asc2M3O6XNEWZstNGuBj7Ws1s8lEkz8YvbYEToAdYZWZH=w86-h114-k-no
Alaska Coffee,,"4,7",https://www.google.com/maps/place/Alaska+Coffee/data=!4m7!3m6!1s0x2e788339e2169617:0x2c10d89147f48282!8m2!3d-7.9240337!4d112.5837423!16s%2Fg%2F11rm_27l79!19sChIJF5YW4jmDeC4RgoL0R5HYECw?authuser=0&hl=id&rclk=1,tempat enak buat nugas harga jangkau semua menu makan sama minum standart lah y rasa soal harga murce tempat luas wifi lancar cocok buat nugas oke mantab enak buat kopag nyore viewnya bagus duduk dalem deket cendela kelas tempat nongkorng malam sedia tempat fokus nugas angjayyy gacornya ada match papan atas selalu nobar sip kata aing mah kopi mantul kopi arjunanya ciri khas alaska wifi harga standart meeting snack luas musik,"Fasilitas: wifi, harga, standart, meeting, snack, luas, musik. Kata Mereka: tempatnya enak buat nugas, harganya terjangkau semua ... Untuk menu makanan sama minuman standart lah y rasanya soalnya harga juga murce tempat luas, wifi lancar cocok buat nugas oke mantab ... enak buat kopag dan nyore viewnya bagus banget kalo duduk di dalem deket cendela ... Berkelas, tempat nongkorng malam, disediakan tempat untuk yg ingin fokus nugas juga angjayyy, gacornya setiap ada match papan atas selalu nobar, sip kata aing mah👍🏻 … ... kopinya mantul bgt apalagi kopi arjunanya ciri khas alaska",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqtwQwqoad7EKFJqgvfgtD3Nv84RMkvsh76fA0KHG7THR3jpEmwEKErWTEHJUR3iHHRlLVuTpdYmhjCB556mLoqp9CdnoI0CHrpF5o7N3HFvaZsUboaTSekScfTigMG4Zk2D4f0g=w152-h86-k-no
Beocca coffee,Jl. Pamenang,"4,6",https://www.google.com/maps/place/Beocca+coffee/data=!4m7!3m6!1s0x2e788110f70666e1:0xaf4b8c7e1bd0dfa7!8m2!3d-7.9217404!4d112.5795969!16s%2Fg%2F11s5fpdpfl!19sChIJ4WYG9xCBeC4Rp9_QG36MS68?authuser=0&hl=id&rclk=1,hari hari beocca ntah nongki nugas kerkom rapat bahkan pernah ngadain event sini bareng temen temen service oke tempat oke indoor berac indoor non ac rooftop mushola makan enak minum enak yaa worth view bagus lantai view gunung kalau malam viewnya citylight lantai ambiencenya nyaman ada indoor selain sedia musholla kamar mandi layan ramah stop kontak jg tempat asik buat nongkrong buka jam pagi jadi andal buat nugas ngobrol santai larut suasana nyaman harga sahabat tempat enak suasana nyaman terlalu berisik enak buat nugas cuma jalan tuju kesana jalan agak jelek tempat nyaman luas ada sofa jujur kecewa jauh jauh surabaya kesini harga murah emang rasa deh sorry sen irish coffe rasa coffee irish minum manis doang harga standar kasir hujan dingin jujur gyoza colok sambal matah platter,"Fasilitas: harga, standar, kasirnya, hujan, dingin, jujur, gyoza, colokan, sambal matah, platter. Kata Mereka: Hari hari ke beocca ntah nongki, nugas, kerkom, rapat, bahkan pernah ngadain event disini bareng temen temen. Service oke, tempat oke indoor ber-AC ada, indoor non AC ada, rooftop pun ada, mushola ada, makanan enak, minuman enak, yaa worth … ... view nya bagus bgt di lantai 2 (view pegunungan), kalau malam viewnya citylight dan di lantai 1 ambiencenya juga nyaman bgt, ada indoor nya juga. selain itu, tersedia musholla dan kamar mandi juga. pelayanan juga ramah bgt. stop kontak jg … ... Tempatnya asik banget buat nongkrong, buka sampai jam 1 pagi jadi andalan buat nugas atau ngobrol santai sampai larut. Suasananya nyaman dan harganya juga bersahabat. ... tempatnya enak, suasananya nyaman, gak terlalu berisik masih enak buat nugas, cuma jalan menuju kesananya aja jalannya masih agak jelek tapi tempat nya nyaman luas dan ada sofanya juga ... Jujur kecewa sih jauh jauh dari Surabaya kesini. Secara harga masih murah emang, tapi rasanya nggak deh sorry
Pesen Irish coffe, ga kerasa coffee apalagi Irish nya. Minuman manis doang yg …",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfhTfksKte_NYGfzIwVGtEjMYuFTGXnqKCRGnQmXy4U6OEiA0D30PEJ0RHAqyDDnPicpIW3m21OK0Ncscwyiu2X1-PiTlVcsyKJ_AYXPnsWjG5GvAbvZZ6UnOSG9RfHYaXdSTP=w86-h114-k-no
Onyeko Malang,Jl. Raya Dermo No.168,"4,6",https://www.google.com/maps/place/Onyeko+Malang/data=!4m7!3m6!1s0x2e7883f25f671c99:0x5794f1b0f8200f38!8m2!3d-7.9246458!4d112.5850753!16s%2Fg%2F11f731r9gs!19sChIJmRxnX_KDeC4ROA8g-LDxlFc?authuser=0&hl=id&rclk=1,tempat nongkrong asik daerah dau tempat buka jam kamis minggu cukup cozy cafe cuman wajar bila mes harus sabar tunggu lama pas kondisi rame layan orang diri sengaja temu cafe saat lihat jalan tarik tanam perdu tanam depan pagar batas buat beda cafe sekitar tempat ngopi buat nongkrong terus penting lingkung dukung buat ken nugas work from cafe outdoor indoor terus stopkontak banyak ini mesen minum pilih menu bisa request lumayan masih affordable kantong mahasiswa taraf cafe letak strategis panjang jalan isi kafe semua saling dekat belakang lokasi sawah tambah hawa sejuk harga menu ekonomis tempat parkir cukup wifi ada sayang nggak ada tempat pisah smoking no smoking area jd ngga betah asap rokok ganggu harga sawah wifi parkir mahasiswa dingin luas pandang standar snack,"Fasilitas: harga, sawah, wifi, parkir, mahasiswa, dingin, luas, pemandangan, standar, snack. Kata Mereka: tempat nongkrong yang asik banget di daerah Dau. Tempatnya buka 24 jam dari Kamis sampai Minggu ... Cukup cozy juga ini cafe.
Cuman ya wajarlah bila setiap memesan sesuatu harus bersabar karena menunggu agak lama, apalagi pas kondisi rame dan pelayannya seorang diri. 😁🙏☺️
. … ... Tidak sengaja menemukan cafe ini. Saat melihat dijalan sudah tertarik karena ada tanaman perdu yang ditanam didepan sebagai pagar pembatas, membuat berbeda dari cafe disekitarnya. … ... Tempat ngopi, bisa buat nongkrong juga terus yang terpenting lingkungannya mendukung buat yang pengen nugas atau work from cafe, ada outdoor indoor terus stopkontaknya banyak. Ini mesen minum yang nggak ada di pilihan menu juga bisa request. Lumayan juga masih affordable di kantong mahasiswa untuk setaraf cafe. ... Letak strategis. Sepanjang jalan isinya kafe semua, saling berdekatan. Belakang lokasi ada sawah menambah hawa sejuk. Harga menu ekonomis. Tempat parkir cukup. Wifi ada. Sayangnya nggak ada tempat terpisah antara smoking dan no smoking area. Jd yg ngga betah asap rokok terganggu",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwABWYawL1rhPYLlcOqw7wVBKo0bCVtYtl4obLwsmzPixDNgL8EiVQmWnNk278mgCEMo9-70qDHOLfFEisiTKCtcTolmLPU1N3ASeP9VJDkK-nUzLpTXYnZjWfOcW8YhCUT2TE=w114-h86-k-no
Holding.mlg,Jl. Pamenang,"4,7",https://www.google.com/maps/place/Holding.mlg/data=!4m7!3m6!1s0x2e78818db104cb6d:0xa5d65ca0c05686bc!8m2!3d-7.9210329!4d112.5801122!16s%2Fg%2F11tp4k_jfn!19sChIJbcsEsY2BeC4RvIZWwKBc1qU?authuser=0&hl=id&rclk=1,layan bagus staff ramahhh makan minum variatif sangat sangat terjangkauuu suasana oke buat nyantai ngobrol lama lamaaa holding signature holding in the sky apa esspresonya bestt wajib coba kalau kesini pas cari cafe ambience tenang buka dini hari malang cocok gada kang parkir tenang deket kebun dingin bangettt harga makan minum murahh minus meja ringkih mantap kasir ramah sabar meski nongkrong gercep ada mau sen respect its oke lahh ini parkir cukup luas muat mobil sama banyak motor kok akses syulit makan gk datang sampe jam pdahal buru gk jelas order aku ajah udah datang semua gk profesional datang cuma minum minta makan take away cuma suruh nunggu bentar doang harga parkir sore layan helm dingin kasir jaket tanggung jawab signature,"Fasilitas: harga, parkir, sore, pelayanan, helm, dingin, kasirnya, jaket, pertanggung jawaban, signature. Kata Mereka: Dari pelayanan bagus banget staff ramahhh , makanan serta minuman juga variatif serta sangat sangat terjangkauuu . Suasana oke banget buat nyantai ngobrol berlama lamaaa . Holding signature yg holding in the sky apa itu ada esspresonya bestt banget wajib coba kalau kesini ✨ ... Pas lagi cari cafe yang ambience tenang dan buka dini hari di malang, ini cocok bgt sih, gada kang parkir, tenang bgt deket kebun lagi, dan dingin bangettt. Harga makanan minuman murahh, minus mejanya agak ringkih aja ... Mantap kasirnya ramah + sabar meskipun nongkrong masih gercep kalo ada yg mau pesen RESPECT++ ... Its oke lahh ini
🅿️Parkir cukup luas, bisa muat mobil sama banyak motor kok, aksesnya juga ga syulit … ... Makanan gk datang sampe 1 jam , pdahal saya buru2 , gk jelas , yg order setelah aku ajah udah datang semua , gk profesional. Yg datang cuma minuman , minta makanan di take away cuma di suruh nunggu bentar2 doang",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykb45qdq1poqTKImnigwHVkAfdTZFlO7hr-cXk62egBHSTdbFieBD-OhoUgcEB2anuEv1lGRI99so2E83Steh6gCQmlDLvxbiqaa6uKhCFL-c74s7JgBz2B8nOXCKMwnIwXQk11TFTTRM=w86-h152-k-no
Sesama Kofie n' Eatery,3HHJP6R,"4,8",https://www.google.com/maps/place/Sesama+Kofie+n%27+Eatery/data=!4m7!3m6!1s0x2e7881c22b3e9ab1:0x28f9a8920812a5fc!8m2!3d-7.9206462!4d112.580519!16s%2Fg%2F11spfw4g7f!19sChIJsZo-K8KBeC4R_KUSCJKo-Sg?authuser=0&hl=id&rclk=1,minum kopi aren kurang greget kopi vietnam mantap nemu review gmaps cafe top rated nyata memang recommended menu agam harga lebih murah cafe banyak rasa enak kurang terang malem susah nyarinya karna lokasi pojok makan minum rekomen harga segitu rasa kecewa suasana syahdu pas cerah kliatan pandang bagus kombinasi resto nuansa view alam indah pandang mata saji sedap lidah harga sahabat ramah kantong tempat sejuk makan udah jamin karna gabung sego sambel malang kopi enakk tempat kids friendly bgt harga pandang sambel siang panas masakan layan,"Fasilitas: harga, pemandangan, sambel, siang, panas, masakan, pelayanan. Kata Mereka: Untuk minumnya .
Kopi Aren kurang greget .
Kopi Vietnam nya mantap. … ... Nemu dari review gmaps di cafe top rated, ternyata memang recommended sih. Menunya beragam dengan harga yg lebih murah dr cafe kebanyakan dan rasanya enak. Kurang penerangan aja sih, kalo malem agak susah nyarinya Karna lokasinya di pojok ... Makanan + minumannya rekomen sih, dengan harga segitu rasanya gak mengecewakan. Suasananya syahdu apalagi pas cerah, kliatan pemandangan bagus. ... Kombinasi Resto dengan nuansa View alam yang Indah dipandang Mata Dan sajian yang Sedap diLidah 😋 Harga bersahabat ramah dikantong 👍 … ... Tempatnya sejuk, makanannya udah terjamin karna gabung sego sambel malangan, kopi nya juga enakk.. tempatnya kids friendly bgt…",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzwQBsQ6mTHSgqWjE1PVbShnAVGbX1AGC5HEU06VY8lk6Ork6veT9Pgk515YztuEM7fjqjFZh45DVSzqWG8v04MBUxthFW0nhbn-BuZp6Pvh-anjSfKoOMmaPbG1DPwtIFjl0o=w114-h86-k-no
Ngesis Coffee,,"4,5",https://www.google.com/maps/place/Ngesis+Coffee/data=!4m7!3m6!1s0x2e788227942a61d3:0x46d445ad64d64658!8m2!3d-7.9243638!4d112.5850824!16s%2Fg%2F11c2kd72rl!19sChIJ02EqlCeCeC4RWEbWZK1F1EY?authuser=0&hl=id&rclk=1,basecamp jaman kuliah waktu ngesis jadi satusatunya kopi omah kampus makan kalau malang rasa kurang kalau mampir sini kopi enak harga jangkau suasana juga wifi selalu lancar gaperlu takut habis baterai kopi sudah support terminal listrik kopi paling legend e dermo n awal klaster klaster kopi mlang josss tempat asik nyaman layan cepat walaupun sedang ramai sedia wifi joss harga sangat jangkau kalang anak kost tempat es gaess sejukasyik buat ngopi bareng sama tementemen kampus pas kosng jam kuliah sesuai nama warunge isis pol murah free wifi cocok buat cangkruk nugas wifi harga sawah mahasiswa sejuk santai pandang angin anak parkir,"Fasilitas: wifi, harga, sawah, mahasiswa, sejuk, santai, pemandangan, angin, anak, parkir. Kata Mereka: Basecamp dari jaman kuliah waktu ngesis masih jadi satu-satunya kopian di omah kampus. Makannya kalau ke Malang rasanya kurang kalau gak mampir di sini. Selain kopinya enak dan harga yang terjangkau, ada suasana dan juga wifi yang selalu lancar. Gaperlu takut kehabisan baterai karena kopian ini sudah support terminal listrik😁 … ... Kopian paling legend e dermo n awal dr klaster klaster kopian di mlang, josss ... Tempatnya Asik, Nyaman Dan Pelayanannya Cepat, Walaupun Sedang Ramai2nya. Tersedia WI-FI yang Joss Dan Harga Sangat Terjangkau Untuk Kalangan Anak KOST. ... Tempatnya esis gaess dan sejuk,asyik buat ngopi bareng sama temen-temen kampus pas lagi kosng jam kuliah ... Sesuai dengan nama. Warunge isis pol. Murah dan free wifi. Cocok buat cangkruk dan nugas",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw8qHTngaLrdmd6b8hDelNp9LdUjvRl66e2NDGj2WqcqR0x2DROpiFzd4mfFqaHHQXu6Ft0eizeW-9swua6r6JYGoLuLrmNOU_aVvr0ohwxcVQzd8bGFOjJAWruSzFLhSN_fywf=w170-h86-k-no
Berteduh Coffee & Eatery,Kedai Kopi,"4,1",https://www.google.com/maps/place/Berteduh+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e788135cea2ce79:0x131a0c4a538a22c8!8m2!3d-7.9210763!4d112.5788987!16s%2Fg%2F11sz3r1nkh!19sChIJec6izjWBeC4RyCKKU0oMGhM?authuser=0&hl=id&rclk=1,suasana okeyy cocok santai banyak tempat duduk cuma makan hambarr bangettt entah eror gimana paham sen classic carbo sama potato wedges gaada asin sama sekali minta perhati karena sayang tempat nyaman makan reng cocok kalau mau skripsi cuma dar bengong sini wifinya lumayan kenceng viewnya cantik spot foto banyak sofa empuk makan minum affordable semua cafe sini view bagus masuk teduh parkir luas motor aman mobil effort lah untk makan enakenak cuma porsi memng minimal sekali klo untk anak laki jelas kurang layan oke bersih top nama pas teduh tempat asik buat neduh sibuk buka jam pagi pas buat cari tempat nugas ngobrol santai larut nyaman nongkrong sini semua food and beveragenya premium harga sahabat wifi kenceng cocok buat kerja nugas layan harga wifi luas kamar mandi foto santai stop kontak duduk potato,"Fasilitas: pelayanan, harga, wifi, luas, kamar mandi, foto, santai, stop kontak, duduk, potato. Kata Mereka: Suasana nya okeyy cocok untuk santai .. Banyak tempat duduk nya juga .. Cuma makanan nya hambarr bangettt, entah lagi eror atau gimana ga paham, pesen classic carbo sama potato wedges gaada asin2 nya sama sekali .. Minta tolong di perhatikan lagi, karena sayang aja tempat nyaman tp makanan nya kureng ... Cocok banget kalau mau skripsian atau cuma sekedar bengong disini,

Wifi-nya lumayan kenceng, view-nya cantik banget, spot foto"" juga banyak, Sofanya empuk, makanan dan minumannya affordable 🤩🤩🤩 … ... Semua Cafe disini view nya bagus termasuk Berteduh ini. Parkir luas motor aman, mobil agak effort lah. Untk makanannya enak-enak, cuma porsinya memng minimalis sekali ya. Klo untk anak laki jelas kurang. Pelayanan oke, kebersihan top. … ... Namanya pas banget, 'Berteduh'. Tempatnya asik buat neduh dari kesibukan, apalagi buka sampai jam 2 pagi. Pas buat yang cari tempat nugas atau ngobrol santai sampai larut. ... Nyaman banget nongkrong disini. Semua food and beveragenya premium harga bersahabat. Wifi kenceng. Cocok buat kerja atau nugas.",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSweFF1e0vJ-3-RgR-Zev4dHP89knWAV3zmbLwoddnlQO50TLRodntNgo4DbumgfYDP5J-ooDpNGjaA5zQ2zY932qkrpgjlQZ8aqHf-ytQrrZG63lkKS8HsfzUsyjlc7XBSobRa4qlWaX-mh=w86-h114-k-no
Nine Cafe & Eatery,Jl. Gotong Royong III,"4,9",https://www.google.com/maps/place/Nine+Cafe+%26+Eatery/data=!4m7!3m6!1s0x2e78818ddfd925c1:0x280e36caba169644!8m2!3d-7.9216178!4d112.5802578!16s%2Fg%2F11tnxjj23h!19sChIJwSXZ342BeC4RRJYWuso2Dig?authuser=0&hl=id&rclk=1,tempat nyaman makan enak murah cocok buat ngobrol santai bareng keluarga dapet tempat dari rekomendasi tiktok hasil bagusss ikut ulas gatau knpa sepi unjung pdhal tempat cozy bgtt layan oke trus menu dg harga affordable view surrounding kafe keren banyak pilih kafe sekitar situ nine cafe asiknya dpt kesan homie jadi nyaman nugas mgobrol bikin workshop wajip masuk list cafe malang enak tempat nyaman paling penting tempatnta cocok buat kerja kelompok forum seminar harga santai meeting karaoke sejuk event diskusi sawah mahasiswa,"Fasilitas: seminar, harga, santai, meeting, karaoke, sejuk, event, diskusi, sawah, mahasiswa. Kata Mereka: Tempat nya nyaman, makanan enak dan murah cocok banget buat ngobrol santai bareng keluarga juga ^^ ... Dapet tempat ini dari rekomendasi di tiktok, dan hasilnya, BAGUSSS!!!

Berikut ulasannya : … ... gatau knpa sepi pengunjung pdhal tempatnya cozy bgtt, pelayanannya oke, trus menunya dg harga yg affordable. ... view surrounding kafe keren, banyak pilihan kafe di sekitar situ  tapi di nine cafe asiknya dpt kesan homie jadi bisa nyaman nugas, mgobrol atau bikin workshop . … ... Wajip masuk list cafe sih di malang enak banget tempatnya nyaman dan paling penting tempatnta cocok banget buat kerja kelompok atau forum",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGXlMj7gQUsnJEaurvwGtZO8APVAAWOquDEViNHYnFjSu4lZmU28FH5C1CeqDvYhEjJifGArz92tW1VfYvEHBsAJ-YNEjxjhkGclMvs5QmzvO71P-G-e6nQfB-lIXLETaDN3LO=w152-h86-k-no
OR Traffic,,"4,5",https://www.google.com/maps/place/OR+Traffic/data=!4m7!3m6!1s0x2e78810bfb8254ad:0x10142423f05c60b7!8m2!3d-7.913671!4d112.5849502!16s%2Fg%2F11gxwwk7m_!19sChIJrVSC-wuBeC4Rt2Bc8CMkFBA?authuser=0&hl=id&rclk=1,tempat asik malem rame pagi enak buat bengong rooftopnya tpi kamar mandi cuma basement sm rooftop huhuhu buat coffee oke buat nongkrong rame rame enak baguss segi apa makan jugaa enak kakak ramah ramahh makin enak karna kesini sama pacallkuu hehehe or traffic rupa tempat layak kunjung berkat suasana nyaman konsep industrial sangat tarik menu gugah selera area rooftop mungkin unjung nikmat pandang tinggi lokasi mudah cari sayang liat wastafel mudah akses layan cukup ramah bayar terima cash qris harga makan standar cafe menuee muraah poll suasanae enak lantai atas cuma lek malem dingin minus wifinya mahasiswa pizza rooftop pesan konsep spaghetti basement industrial carbonara senja,"Fasilitas: mahasiswa, pizza, rooftop, pesan, konsep, spaghetti, basement, industrial, carbonara, senja. Kata Mereka: Tempatnya asik, kalo malem rame banget. Kalo pagi enak bgt buat bengong di rooftopnya, tpi kamar mandinya cuma ada di basement sm di rooftop huhuhu. Tapi buat coffee oke, buat nongkrong rame rame enak. ... Baguss banget dari segi apapun makanan jugaa enak kakaknya ramah ramahh dan makin enak lagi karna kesini sama pacallkuu hehehe>.< ... or traffic merupakan tempat yang layak dikunjungi berkat suasananya yang nyaman dengan konsep industrial yang sangat menarik, menu yang menggugah selera, serta area rooftop yang memungkinkan pengunjung menikmati pemandangan dari ketinggian. … ... Lokasi mudah dicari, sayangnya saya ga keliatan ada wastafel yang mudah diakses.
Pelayanan cukup ramah. Pembayaran menerima Cash & QRIS. Harga makanan standar cafe. ... menuee muraah poll , suasanae enak yg dilantai atas cuma lek malem dingin. minus wifinya aja",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy1u60M12jpeJKC_43fV1ZU_ylj7_RgSGMeQm4IBBcJ1w6Jj4uygsZESjidE5XT8jWCS3wYc-aU5XuYO5dWaQwBT1Cnhcqa5ofVtPUFqKCyMXjUtbrelIkakwDXXYQvpRecmQk0=w114-h86-k-no
